login,label,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week
Shlomob,1,0,0.0,0,0,0.0,111,82.85,17,2,6.53,111,82.85,17,2,6.53
ACComputing,1,0,0.0,0,0,0.0,12,18.5,2,5,6.0,12,18.5,2,5,6.0
op7418,1,0,0.0,0,0,0.0,274,175.7,9,5,30.44,274,175.7,9,5,30.44
LIN0304,1,0,0.0,0,0,0.0,68,83.91,7,5,9.71,68,83.91,7,5,9.71
adhi-thirumala,1,0,0.0,0,0,0.0,117,42.69,8,5,14.62,117,42.69,8,5,14.62
hyunolike,1,0,0.0,0,0,0.0,421,43.59,43,5,9.79,421,43.59,43,5,9.79
NikolayS,1,200,59.55,21,1,9.52,584,146.76,5,4,116.8,384,87.21,-16,3,107.28
burningion,1,80,92.3,29,1,2.76,182,26.08,29,1,6.28,102,-66.22,0,0,3.52
Badrivinayakmishra,1,0,0.0,0,0,0.0,246,187.83,8,5,30.75,246,187.83,8,5,30.75
ArtemisAI,1,0,0.0,0,0,0.0,251,174.71,22,5,11.41,251,174.71,22,5,11.41
Zackhsu5566,1,0,0.0,0,0,0.0,165,159.36,7,4,23.57,165,159.36,7,4,23.57
Hisn00w,1,0,0.0,0,0,0.0,54,81.17,5,4,10.8,54,81.17,5,4,10.8
oreillyjw,1,86,56.09,28,1,3.07,118,102.08,7,3,16.86,32,45.99,-21,2,13.79
mitchelldschafer,1,0,0.0,0,0,0.0,7,44.43,1,4,7.0,7,44.43,1,4,7.0
RhidoyPro,1,0,0.0,0,0,0.0,218,159.52,13,5,16.77,218,159.52,13,5,16.77
yungol,1,0,0.0,0,0,0.0,33,65.94,10,5,3.3,33,65.94,10,5,3.3
dzivkovi,1,125,43.1,31,1,4.03,173,103.71,19,5,9.11,48,60.61,-12,4,5.08
jarredbarber,1,8,7.0,3,1,2.67,599,127.03,7,5,85.57,591,120.03,4,4,82.9
bubuwang007,1,0,0.0,0,0,0.0,89,21.17,10,5,8.9,89,21.17,10,5,8.9
finnfujimura,1,0,0.0,0,0,0.0,118,54.66,7,5,16.86,118,54.66,7,5,16.86
VincentGagnonDev,1,0,0.0,0,0,0.0,15,92.13,4,5,3.75,15,92.13,4,5,3.75
jhd3197,1,0,0.0,0,0,0.0,727,132.99,13,5,55.92,727,132.99,13,5,55.92
petems,1,0,0.0,0,0,0.0,396,150.3,15,5,26.4,396,150.3,15,5,26.4
rafael-sgoncalves,1,79,39.84,10,2,7.9,70,49.66,15,3,4.67,-9,9.82,5,1,-3.23
qte77,1,0,0.0,0,0,0.0,205,161.24,21,5,9.76,205,161.24,21,5,9.76
ahmad-luqman,1,20,155.05,6,1,3.33,201,170.9,62,5,3.24,181,15.85,56,4,-0.09
severity1,1,0,0.0,0,0,0.0,194,147.47,19,5,10.21,194,147.47,19,5,10.21
almiab1,1,14,17.57,4,2,3.5,113,123.8,14,5,8.07,99,106.23,10,3,4.57
joshuarg007,1,0,0.0,0,0,0.0,224,119.26,19,5,11.79,224,119.26,19,5,11.79
carlosmsanchezm,1,0,0.0,0,0,0.0,518,75.61,18,5,28.78,518,75.61,18,5,28.78
ivantsonevsky,0,0,0.0,0,0,0.0,200,17.5,1,1,200.0,200,17.5,1,1,200.0
Dnj24,0,0,0.0,0,0,0.0,6,35.83,2,1,3.0,6,35.83,2,1,3.0
Ihan0316,0,0,0.0,0,0,0.0,439,50.32,22,5,19.95,439,50.32,22,5,19.95
stukusva,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
BlockNG,0,426,47.72,19,3,22.42,0,0.0,0,0,0.0,-426,-47.72,-19,-3,-22.42
j67001,0,0,0.0,0,0,0.0,201,16.08,7,2,28.71,201,16.08,7,2,28.71
rathodsunanda,0,0,0.0,0,0,0.0,875,198.16,2,5,437.5,875,198.16,2,5,437.5
AndrobaL,0,4,45.0,2,1,2.0,600,48.16,4,3,150.0,596,3.16,2,2,148.0
Eric-Guo,0,0,0.0,0,0,0.0,1000,84.25,32,5,31.25,1000,84.25,32,5,31.25
piny940,0,0,0.0,0,0,0.0,801,86.88,50,5,16.02,801,86.88,50,5,16.02
aref2232,0,0,0.0,0,0,0.0,229,35.92,13,5,17.62,229,35.92,13,5,17.62
Mohana16-N,0,14,29.0,2,2,7.0,9,19.67,3,3,3.0,-5,-9.33,1,1,-4.0
capigiba,0,0,0.0,0,0,0.0,111,29.29,9,5,12.33,111,29.29,9,5,12.33
Jackygao2,0,0,0.0,0,0,0.0,1000,109.99,65,5,15.38,1000,109.99,65,5,15.38
linhnvph36809,0,0,0.0,0,0,0.0,233,37.47,7,5,33.29,233,37.47,7,5,33.29
nguoisuutam1985,0,0,0.0,0,0,0.0,12,22.08,4,2,3.0,12,22.08,4,2,3.0
ignissak,0,0,0.0,0,0,0.0,309,36.12,47,5,6.57,309,36.12,47,5,6.57
Sumon0096,0,0,0.0,0,0,0.0,200,28.0,1,1,200.0,200,28.0,1,1,200.0
sacredbanana,0,43,39.21,10,2,4.3,316,38.68,44,5,7.18,273,-0.53,34,3,2.88
iitech385,0,0,0.0,0,0,0.0,68,45.03,2,3,34.0,68,45.03,2,3,34.0
chaeyn,0,0,0.0,0,0,0.0,264,18.57,17,5,15.53,264,18.57,17,5,15.53
2413181638,0,104,26.22,24,2,4.33,525,17.29,63,5,8.33,421,-8.93,39,3,4.0
NotYuSheng,0,74,17.8,5,1,14.8,265,92.28,42,5,6.31,191,74.48,37,4,-8.49
pavlo-kh,0,216,9.79,4,2,54.0,0,0.0,0,0,0.0,-216,-9.79,-4,-2,-54.0
daenekint,0,0,0.0,0,0,0.0,200,15.83,8,1,25.0,200,15.83,8,1,25.0
CauaSilva28,0,0,0.0,0,0,0.0,94,22.91,21,5,4.48,94,22.91,21,5,4.48
ManishaxKumari,0,0,0.0,0,0,0.0,209,33.91,12,5,17.42,209,33.91,12,5,17.42
koot0303,0,0,0.0,0,0,0.0,221,23.01,27,5,8.19,221,23.01,27,5,8.19
ghtempsensor,0,1,16.0,1,1,1.0,0,0.0,0,0,0.0,-1,-16.0,-1,-1,-1.0
